t_s,i_a,soc,vp_v,ocv_v,vt_v
8553.0,0.0,0.7816666666664549,-4.852903327149411e-10,3.795799004497471,3.7957990049827615
8554.0,0.0,0.7816666666664549,-4.742610069714197e-10,3.795799004497471,3.795799004971732
8555.0,0.0,0.7816666666664549,-4.634823477220692e-10,3.795799004497471,3.795799004960953
8556.0,0.0,0.7816666666664549,-4.529486580011131e-10,3.795799004497471,3.7957990049504198
8557.0,0.0,0.7816666666664549,-4.426543703192696e-10,3.795799004497471,3.7957990049401253
8558.0,0.0,0.7816666666664549,-4.3259404372110436e-10,3.795799004497471,3.795799004930065
8559.0,0.0,0.7816666666664549,-4.227623609092611e-10,3.795799004497471,3.7957990049202333
8560.0,0.0,0.7816666666664549,-4.131541254340506e-10,3.795799004497471,3.795799004910625
8561.0,0.0,0.7816666666664549,-4.0376425894691307e-10,3.795799004497471,3.795799004901235
8562.0,0.0,0.7816666666664549,-3.945877985163014e-10,3.795799004497471,3.795799004892059
8563.0,0.0,0.7816666666664549,-3.856198940045673e-10,3.795799004497471,3.795799004883091
8564.0,0.0,0.7816666666664549,-3.768558055044635e-10,3.795799004497471,3.795799004874327
8565.0,0.0,0.7816666666664549,-3.682909008339075e-10,3.795799004497471,3.7957990048657617
8566.0,0.0,0.7816666666664549,-3.5992065308768235e-10,3.795799004497471,3.7957990048573915
8567.0,0.0,0.7816666666664549,-3.5174063824478046e-10,3.795799004497471,3.795799004849212
8568.0,0.0,0.7816666666664549,-3.4374653283012637e-10,3.795799004497471,3.7957990048412174
8569.0,0.0,0.7816666666664549,-3.359341116294417e-10,3.795799004497471,3.795799004833405
8570.0,0.0,0.7816666666664549,-3.282992454560453e-10,3.795799004497471,3.79579900482577
8571.0,0.0,0.7816666666664549,-3.208378989684079e-10,3.795799004497471,3.795799004818309
8572.0,0.0,0.7816666666664549,-3.1354612853730774e-10,3.795799004497471,3.795799004811017
8573.0,0.0,0.7816666666664549,-3.064200801614598e-10,3.795799004497471,3.795799004803891
8574.0,0.0,0.7816666666664549,-2.9945598743051753e-10,3.795799004497471,3.795799004796927
8575.0,0.0,0.7816666666664549,-2.926501695343694e-10,3.795799004497471,3.7957990047901213
8576.0,0.0,0.7816666666664549,-2.8599902931767915e-10,3.795799004497471,3.79579900478347
8577.0,0.0,0.7816666666664549,-2.7949905137864096e-10,3.795799004497471,3.79579900477697
8578.0,0.0,0.7816666666664549,-2.731468002109446e-10,3.795799004497471,3.795799004770618
8579.0,0.0,0.7816666666664549,-2.6693891838796856e-10,3.795799004497471,3.79579900476441
8580.0,0.0,0.7816666666664549,-2.6087212478824203e-10,3.795799004497471,3.795799004758343
8581.0,0.0,0.7816666666664549,-2.5494321286123654e-10,3.795799004497471,3.795799004752414
8582.0,0.0,0.7816666666664549,-2.491490489325721e-10,3.795799004497471,3.79579900474662
8583.0,0.0,0.7816666666664549,-2.434865705477409e-10,3.795799004497471,3.7957990047409575
8584.0,0.0,0.7816666666664549,-2.3795278485347404e-10,3.795799004497471,3.7957990047354238
8585.0,0.0,0.7816666666664549,-2.3254476701589507e-10,3.795799004497471,3.7957990047300156
8586.0,0.0,0.7816666666664549,-2.2725965867462472e-10,3.795799004497471,3.7957990047247305
8587.0,0.0,0.7816666666664549,-2.220946664320196e-10,3.795799004497471,3.7957990047195658
8588.0,0.0,0.7816666666664549,-2.1704706037674644e-10,3.795799004497471,3.7957990047145183
8589.0,0.0,0.7816666666664549,-2.1211417264091128e-10,3.795799004497471,3.7957990047095853
8590.0,0.0,0.7816666666664549,-2.0729339598998148e-10,3.795799004497471,3.7957990047047643
8591.0,0.0,0.7816666666664549,-2.0258218244475464e-10,3.795799004497471,3.7957990047000534
8592.0,0.0,0.7816666666664549,-1.9797804193464657e-10,3.795799004497471,3.795799004695449
8593.0,0.0,0.7816666666664549,-1.9347854098158643e-10,3.795799004497471,3.7957990046909496
8594.0,0.0,0.7816666666664549,-1.890813014138231e-10,3.795799004497471,3.795799004686552
8595.0,0.0,0.7816666666664549,-1.847839991089635e-10,3.795799004497471,3.795799004682255
8596.0,0.0,0.7816666666664549,-1.8058436276557795e-10,3.795799004497471,3.7957990046780554
8597.0,0.0,0.7816666666664549,-1.764801727027239e-10,3.795799004497471,3.795799004673951
8598.0,0.0,0.7816666666664549,-1.7246925968675292e-10,3.795799004497471,3.79579900466994
8599.0,0.0,0.7816666666664549,-1.6854950378478125e-10,3.795799004497471,3.7957990046660206
8600.0,0.0,0.7816666666664549,-1.6471883324421804e-10,3.795799004497471,3.79579900466219
8601.0,0.0,0.7816666666664549,-1.6097522339775855e-10,3.795799004497471,3.795799004658446
8602.0,0.0,0.7816666666664549,-1.5731669559326403e-10,3.795799004497471,3.795799004654788
8603.0,0.0,0.7816666666664549,-1.5374131614796257e-10,3.795799004497471,3.7957990046512124
8604.0,0.0,0.7816666666664549,-1.5024719532641797e-10,3.795799004497471,3.7957990046477184
8605.0,0.0,0.7816666666664549,-1.4683248634172666e-10,3.795799004497471,3.7957990046443033
8606.0,0.0,0.7816666666664549,-1.4349538437941469e-10,3.795799004497471,3.7957990046409664
8607.0,0.0,0.7816666666664549,-1.402341256435189e-10,3.795799004497471,3.795799004637705
8608.0,0.0,0.7816666666664549,-1.37046986424348e-10,3.795799004497471,3.795799004634518
8609.0,0.0,0.7816666666664549,-1.3393228218743102e-10,3.795799004497471,3.7957990046314034
8610.0,0.0,0.7816666666664549,-1.3088836668317123e-10,3.795799004497471,3.795799004628359
8611.0,0.0,0.7816666666664549,-1.279136310767355e-10,3.795799004497471,3.7957990046253847
8612.0,0.0,0.7816666666664549,-1.250065030977188e-10,3.795799004497471,3.7957990046224777
8613.0,0.0,0.7816666666664549,-1.221654462091343e-10,3.795799004497471,3.7957990046196364
8614.0,0.0,0.7816666666664549,-1.1938895879529034e-10,3.795799004497471,3.79579900461686
8615.0,0.0,0.7816666666664549,-1.1667557336812464e-10,3.795799004497471,3.7957990046141465
8616.0,0.0,0.7816666666664549,-1.1402385579157635e-10,3.795799004497471,3.795799004611495
8617.0,0.0,0.7816666666664549,-1.1143240452358598e-10,3.795799004497471,3.795799004608903
8618.0,0.0,0.7816666666664549,-1.0889984987532267e-10,3.795799004497471,3.795799004606371
8619.0,0.0,0.7816666666664549,-1.0642485328724715e-10,3.795799004497471,3.7957990046038956
8620.0,0.0,0.7816666666664549,-1.040061066216279e-10,3.795799004497471,3.795799004601477
8621.0,0.0,0.7816666666664549,-1.0164233147113635e-10,3.795799004497471,3.7957990045991132
8622.0,0.0,0.7816666666664549,-9.933227848315598e-11,3.795799004497471,3.795799004596803
8623.0,0.0,0.7816666666664549,-9.70747266994479e-11,3.795799004497471,3.795799004594546
8624.0,0.0,0.7816666666664549,-9.486848291082408e-11,3.795799004497471,3.7957990045923395
8625.0,0.0,0.7816666666664549,-9.271238102648717e-11,3.795799004497471,3.7957990045901835
8626.0,0.0,0.7816666666664549,-9.060528145770336e-11,3.795799004497471,3.7957990045880763
8627.0,0.0,0.7816666666664549,-8.854607051548283e-11,3.795799004497471,3.795799004586017
8628.0,0.0,0.7816666666664549,-8.653365982194913e-11,3.795799004497471,3.7957990045840044
8629.0,0.0,0.7816666666664549,-8.456698573508665e-11,3.795799004497471,3.795799004582038
8630.0,0.0,0.7816666666664549,-8.264500878656195e-11,3.795799004497471,3.795799004580116
8631.0,0.0,0.7816666666664549,-8.076671313232192e-11,3.795799004497471,3.7957990045782375
8632.0,0.0,0.7816666666664549,-7.893110601567824e-11,3.795799004497471,3.795799004576402
8633.0,0.0,0.7816666666664549,-7.713721724259465e-11,3.795799004497471,3.7957990045746084
8634.0,0.0,0.7816666666664549,-7.538409866889931e-11,3.795799004497471,3.795799004572855
8635.0,0.0,0.7816666666664549,-7.36708236991516e-11,3.795799004497471,3.795799004571142
8636.0,0.0,0.7816666666664549,-7.199648679689815e-11,3.795799004497471,3.7957990045694676
8637.0,0.0,0.7816666666664549,-7.036020300605955e-11,3.795799004497471,3.795799004567831
8638.0,0.0,0.7816666666664549,-6.876110748319456e-11,3.795799004497471,3.795799004566232
8639.0,0.0,0.7816666666664549,-6.719835504039468e-11,3.795799004497471,3.7957990045646692
8640.0,0.0,0.7816666666664549,-6.567111969856753e-11,3.795799004497471,3.795799004563142
8641.0,0.0,0.7816666666664549,-6.417859425087281e-11,3.795799004497471,3.7957990045616494
8642.0,0.0,0.7816666666664549,-6.271998983608025e-11,3.795799004497471,3.795799004560191
8643.0,0.0,0.7816666666664549,-6.129453552162388e-11,3.795799004497471,3.7957990045587655
8644.0,0.0,0.7816666666664549,-5.990147789613244e-11,3.795799004497471,3.7957990045573724
8645.0,0.0,0.7816666666664549,-5.854008067122034e-11,3.795799004497471,3.7957990045560113
8646.0,0.0,0.7816666666664549,-5.720962429232897e-11,3.795799004497471,3.7957990045546808
8647.0,0.0,0.7816666666664549,-5.59094055584124e-11,3.795799004497471,3.7957990045533805
8648.0,0.0,0.7816666666664549,-5.463873725026666e-11,3.795799004497471,3.7957990045521095
8649.0,0.0,0.7816666666664549,-5.3396947767306055e-11,3.795799004497471,3.795799004550868
8650.0,0.0,0.7816666666664549,-5.218338077259455e-11,3.795799004497471,3.7957990045496546
8651.0,0.0,0.7816666666664549,-5.0997394845944675e-11,3.795799004497471,3.7957990045484684
8652.0,0.0,0.7816666666664549,-4.9838363144900476e-11,3.795799004497471,3.7957990045473093
8653.0,0.0,0.7816666666664549,-4.8705673073425465e-11,3.795799004497471,3.7957990045461765
8654.0,0.0,0.7816666666664549,-4.759872595812034e-11,3.795799004497471,3.79579900454507
8655.0,0.0,0.7816666666664549,-4.6516936731799424e-11,3.795799004497471,3.795799004543988
