t_s,t_min,soc_pct,power_kw,range_miles,time_to_80_min,time_to_100_min
23.0,0.38333333333333336,22.555555555555557,46.66666666666725,135.33333333333334,8.616666666666667,9.616666666666667
24.0,0.4,22.666666666666668,46.6666666666665,136.0,8.6,9.6
25.0,0.4166666666666667,22.77777777777778,46.6666666666665,136.66666666666666,8.583333333333334,9.583333333333334
26.0,0.43333333333333335,22.88888888888889,46.6666666666665,137.33333333333334,8.566666666666666,9.566666666666666
27.0,0.45,23.0,46.6666666666665,138.0,8.55,9.55
28.0,0.4666666666666667,23.11111111111111,46.6666666666665,138.66666666666666,8.533333333333333,9.533333333333333
29.0,0.48333333333333334,23.22222222222222,46.6666666666665,139.33333333333334,8.516666666666667,9.516666666666667
30.0,0.5,23.333333333333332,46.6666666666665,139.99999999999997,8.5,9.5
31.0,0.5166666666666667,23.444444444444443,46.66666666666725,140.66666666666666,8.483333333333333,9.483333333333333
32.0,0.5333333333333333,23.555555555555557,46.66666666666725,141.33333333333334,8.466666666666667,9.466666666666667
33.0,0.55,23.666666666666668,46.6666666666665,142.00000000000003,8.45,9.45
34.0,0.5666666666666667,23.77777777777778,46.6666666666665,142.66666666666666,8.433333333333334,9.433333333333334
35.0,0.5833333333333334,23.88888888888889,46.6666666666665,143.33333333333334,8.416666666666666,9.416666666666666
36.0,0.6,24.0,46.6666666666665,144.0,8.4,9.4
37.0,0.6166666666666667,24.11111111111111,46.6666666666665,144.66666666666666,8.383333333333333,9.383333333333333
38.0,0.6333333333333333,24.22222222222222,46.66666666666725,145.33333333333334,8.366666666666667,9.366666666666667
39.0,0.65,24.333333333333336,46.6666666666665,146.0,8.35,9.35
40.0,0.6666666666666666,24.444444444444443,46.6666666666665,146.66666666666666,8.333333333333334,9.333333333333334
41.0,0.6833333333333333,24.555555555555557,46.66666666666725,147.33333333333334,8.316666666666666,9.316666666666666
42.0,0.7,24.666666666666668,46.6666666666665,148.0,8.3,9.3
43.0,0.7166666666666667,24.77777777777778,46.6666666666665,148.66666666666669,8.283333333333333,9.283333333333333
44.0,0.7333333333333333,24.88888888888889,46.6666666666665,149.33333333333334,8.266666666666667,9.266666666666667
45.0,0.75,25.0,46.6666666666665,150.0,8.25,9.25
46.0,0.7666666666666667,25.11111111111111,46.6666666666665,150.66666666666666,8.233333333333333,9.233333333333333
47.0,0.7833333333333333,25.22222222222222,46.66666666666725,151.33333333333334,8.216666666666667,9.216666666666667
48.0,0.8,25.333333333333336,46.6666666666665,152.0,8.2,9.2
49.0,0.8166666666666667,25.444444444444443,46.6666666666665,152.66666666666666,8.183333333333334,9.183333333333334
50.0,0.8333333333333334,25.555555555555557,46.6666666666665,153.33333333333334,8.166666666666666,9.166666666666666
51.0,0.85,25.666666666666664,46.6666666666665,154.0,8.15,9.15
52.0,0.8666666666666667,25.77777777777778,46.66666666666725,154.66666666666666,8.133333333333333,9.133333333333333
53.0,0.8833333333333333,25.88888888888889,46.6666666666665,155.33333333333334,8.116666666666667,9.116666666666667
54.0,0.9,26.0,46.6666666666665,156.0,8.1,9.1
55.0,0.9166666666666666,26.11111111111111,46.6666666666665,156.66666666666669,8.083333333333334,9.083333333333334
56.0,0.9333333333333333,26.22222222222222,46.6666666666665,157.33333333333331,8.066666666666666,9.066666666666666
57.0,0.95,26.333333333333332,46.6666666666665,157.99999999999997,8.05,9.05
